neighborhood,value
  ,47
Armatage,56
Audubon Park,65
Bancroft,61
Beltrami,54
Bottineau,64
Bryant,62
Bryn-Mawr,52
Camden Industrial,42
CARAG,71
Cedar-Isles,53
Cedar-Riverside,78
Central,84
Cleveland,78
Columbia,50
Como,69
Cooper,57
Corcoran,73
Diamond Lake,57
Downtown East,60
Downtown West,85
East Harriet,54
East Isles,61
EAST PHILLIPS,83
ECCO,59
Elliot Park,84
Ericsson,55
Field,55
Folwell,83
Fulton,60
Hale,53
Harrison,77
Hawthorne,86
Hiawatha,67
Holland,74
Howe,69
Humboldt Industrial,35
Jordan,91
Keewaydin,55
Kenny,57
Kenwood,44
King Field,73
Lind-Bohanon,79
Linden Hills,58
Logan Park,59
Longfellow,81
Loring Park,83
Lowry Hill,55
Lowry Hill East,78
Lyndale,82
Lynnhurst,55
Marcy-Holmes,83
Marshall Terrace,54
McKinley,82
Mid-City Industrial,55
MIDTOWN PHILLIPS,83
Minnehaha,62
Morris Park,59
Near North,90
Nicollet Island,52
North Loop,77
Northeast Park,58
Northrup,70
Page,44
Phillips,77
Powderhorn Park,80
Prospect Park,72
Regina,61
Seward,73
Sheridan,60
Shingle Creek,67
St. Anthony East,58
St. Anthony West,56
Standish,67
Stevens Square,74
Sumner-Glenwood,59
Tangletown,61
University,54
Ventura Village,87
Victory,70
Waite Park,61
Webber-Camden,75
Wenonah,72
West Calhoun,50
Whittier,89
Willard-Hay,89
Windom,64
Windom Park,70
Z_  ,24
